time_code,value
20190327 23:06,24.72
20190328 03:26,8.1
20190328 05:46,0.16
20190328 06:06,0.84
20190328 06:26,1.47
20190328 06:46,2.49
20190328 07:06,9.2
20190328 07:26,36.17
20190328 07:46,51.63
20190328 08:06,39.82
20190328 08:26,46.01
20190328 08:46,55.54
20190328 09:06,53.05
20190328 09:26,57.7
20190328 09:46,65.43
20190328 10:06,61.69
20190328 10:26,76.94
20190328 10:46,66.0
20190328 11:06,58.02
20190328 11:26,71.84
20190328 11:46,67.69
20190328 12:06,51.25
20190328 12:26,66.42
20190328 12:46,70.83
20190328 13:06,67.53
20190328 13:26,71.61
20190328 13:46,76.7
20190328 14:06,81.62
20190328 14:26,82.07
20190328 14:46,87.18
20190328 15:06,76.0
20190328 15:26,76.1
20190328 15:46,81.48
20190328 16:06,63.63
20190328 16:26,68.51
20190328 16:46,73.48
20190328 17:06,54.89
20190328 17:26,61.56
20190328 17:46,78.33
20190328 18:06,83.75
20190328 18:26,50.97
20190328 18:46,52.91
20190328 19:06,44.37
20190328 19:26,43.91
20190328 19:46,29.65
20190328 20:06,43.6
20190328 20:26,23.13
20190328 20:46,13.03
20190328 21:06,1.2
20190328 21:26,3.99
20190328 21:46,5.7
20190328 22:06,6.29
20190328 22:46,23.34
20190328 23:06,4.26
20190328 23:26,7.58
20190328 23:46,5.28
20190329 01:46,0.6
20190329 02:26,0.64
20190329 04:26,0.48
20190329 04:46,0.48
20190329 05:06,1.35
20190329 06:06,0.42
20190329 06:26,0.87
20190329 06:46,5.47
20190329 07:06,11.85
20190329 07:26,18.63
20190329 07:46,54.85
20190329 08:06,56.32
20190329 08:26,56.39
20190329 08:46,63.44
20190329 09:06,58.66
20190329 09:26,61.99
20190329 09:46,56.93
20190329 10:06,61.58
20190329 10:26,60.87
20190329 10:46,48.22
20190329 11:06,68.91
20190329 11:26,68.64
20190329 11:46,58.04
20190329 12:06,52.27
20190329 12:26,51.48
20190329 12:46,36.77
20190329 13:06,31.53
20190329 13:26,35.4
20190329 13:46,50.16
20190329 14:06,59.99
20190329 14:26,57.24
20190329 14:46,59.88
20190329 15:06,71.42
20190329 15:26,70.09
20190329 15:46,57.75
20190329 16:06,32.85
20190329 16:26,39.66
20190329 16:46,58.07
20190329 17:06,61.67
20190329 17:26,71.76
20190329 17:46,97.16
20190329 18:06,85.8
20190329 18:26,96.59
20190329 18:46,91.08
20190329 19:06,87.78
20190329 19:26,88.65
